Model,Prefix,Accuracy,Precision,Recall,F1,ROC_AUC,LogLoss,TrainTime_sec,TrainTime_min,InferTime_sec,RSS_Before_MB,PeakRSS_MB,PeakRSS_Delta_MB
LightGBM,lgbm,0.8183595996779017,0.8179959100204499,0.8222932846048424,0.8201389679917986,0.9036400267427944,0.38495653243864775,1.29,0.022,0.0001,273.45,296.61,23.16
CatBoost,catboost,0.8172092488208904,0.8087226034978968,0.834399269072636,0.8213603147835863,0.9000439096356109,0.38961720231108793,11.37,0.19,0.0001,296.91,677.38,380.47
XGBoost,xgb,0.8169791786494881,0.8167765401227551,0.8206943809958885,0.8187307736128517,0.9015763532716781,0.38978585941210975,2.04,0.034,0.0001,528.86,550.7,21.84
LogReg,lr,0.7951225123662717,0.7813651137594799,0.8236637734125172,0.8019570777271211,0.8721885261131319,0.44976171101412266,0.18,0.003,0.0001,241.66,241.69,0.03
KNN,knn,0.7873001265385943,0.787321063394683,0.7914572864321608,0.7893837566921061,0.8726604686764698,0.44554854509504377,0.73,0.012,0.0001,225.56,238.48,12.92
ExtraTrees,extratrees,0.8001840561371218,0.8162874251497007,0.7784376427592508,0.7969133637320238,0.8902042605315632,0.41823660217832237,6.8,0.113,0.0001,164.0,234.84,70.84
HistGB,histgb,0.8112274243644312,0.8099660249150623,0.8168113293741435,0.8133742749914705,0.9026520467077831,0.38496267661620925,12.44,0.207,0.0001,220.38,236.91,16.53
